Year,Month,Day,Daily global solar exposure (MJ/m*m),Station
1995,01,01,33.3,Arkaroola
1995,01,02,29.6,Arkaroola
1995,01,03,17.8,Arkaroola
1995,01,04,29,Arkaroola
1995,01,05,30.9,Arkaroola
1995,01,06,32.3,Arkaroola
1995,01,07,33,Arkaroola
1995,01,08,33.4,Arkaroola
1995,01,09,NA,Arkaroola
1995,01,10,NA,Arkaroola
1995,01,11,31.2,Arkaroola
1995,01,12,29.5,Arkaroola
1995,01,13,19.9,Arkaroola
1995,01,14,9.9,Arkaroola
1995,01,15,16.7,Arkaroola
1995,01,16,16.7,Arkaroola
1995,01,17,NA,Arkaroola
1995,01,18,8.2,Arkaroola
1995,01,19,16,Arkaroola
1995,01,20,NA,Arkaroola
1995,01,21,32.8,Arkaroola
1995,01,22,32.7,Arkaroola
1995,01,23,NA,Arkaroola
1995,01,24,28.8,Arkaroola
1995,01,25,28.5,Arkaroola
1995,01,26,25.5,Arkaroola
1995,01,27,NA,Arkaroola
1995,01,28,30.9,Arkaroola
1995,01,29,30.8,Arkaroola
1995,01,30,12.4,Arkaroola
1995,01,31,31.7,Arkaroola
1995,02,01,31.2,Arkaroola
1995,02,02,22.9,Arkaroola
1995,02,03,31,Arkaroola
1995,02,04,30.9,Arkaroola
1995,02,05,9,Arkaroola
1995,02,06,31.7,Arkaroola
1995,02,07,31.1,Arkaroola
1995,02,08,28.7,Arkaroola
1995,02,09,30.8,Arkaroola
1995,02,10,30.3,Arkaroola
1995,02,11,29.7,Arkaroola
1995,02,12,27,Arkaroola
1995,02,13,27,Arkaroola
1995,02,14,24.1,Arkaroola
1995,02,15,24.8,Arkaroola
1995,02,16,20.2,Arkaroola
1995,02,17,29.6,Arkaroola
1995,02,18,29.7,Arkaroola
1995,02,19,24.5,Arkaroola
1995,02,20,NA,Arkaroola
1995,02,21,20,Arkaroola
1995,02,22,26.1,Arkaroola
1995,02,23,NA,Arkaroola
1995,02,24,19.2,Arkaroola
1995,02,25,27.3,Arkaroola
1995,02,26,27.3,Arkaroola
1995,02,27,23.3,Arkaroola
1995,02,28,23.3,Arkaroola
1995,03,01,20.1,Arkaroola
1995,03,02,18.8,Arkaroola
1995,03,03,25.6,Arkaroola
1995,03,04,26.4,Arkaroola
1995,03,05,26.5,Arkaroola
1995,03,06,25.7,Arkaroola
1995,03,07,25,Arkaroola
1995,03,08,26.1,Arkaroola
1995,03,09,25.5,Arkaroola
1995,03,10,26.1,Arkaroola
1995,03,11,25.7,Arkaroola
1995,03,12,25.5,Arkaroola
1995,03,13,25.6,Arkaroola
1995,03,14,NA,Arkaroola
1995,03,15,24.7,Arkaroola
1995,03,16,24.6,Arkaroola
1995,03,17,24.8,Arkaroola
1995,03,18,24.3,Arkaroola
1995,03,19,24.3,Arkaroola
1995,03,20,23.6,Arkaroola
1995,03,21,23.7,Arkaroola
1995,03,22,23.9,Arkaroola
1995,03,23,18.8,Arkaroola
1995,03,24,22.6,Arkaroola
1995,03,25,22.2,Arkaroola
1995,03,26,21.9,Arkaroola
1995,03,27,22.6,Arkaroola
1995,03,28,22.5,Arkaroola
1995,03,29,21.2,Arkaroola
1995,03,30,22,Arkaroola
1995,03,31,21.3,Arkaroola
1995,04,01,22,Arkaroola
1995,04,02,22.1,Arkaroola
1995,04,03,21.6,Arkaroola
1995,04,04,9.7,Arkaroola
1995,04,05,18.6,Arkaroola
1995,04,06,20.7,Arkaroola
1995,04,07,19.5,Arkaroola
1995,04,08,20.8,Arkaroola
1995,04,09,18.1,Arkaroola
1995,04,10,19.4,Arkaroola
1995,04,11,15.6,Arkaroola
1995,04,12,11,Arkaroola
1995,04,13,18,Arkaroola
1995,04,14,19.5,Arkaroola
1995,04,15,19.2,Arkaroola
1995,04,16,19.6,Arkaroola
1995,04,17,19.6,Arkaroola
1995,04,18,18.6,Arkaroola
1995,04,19,14.9,Arkaroola
1995,04,20,18.5,Arkaroola
1995,04,21,NA,Arkaroola
1995,04,22,14.7,Arkaroola
1995,04,23,11.8,Arkaroola
1995,04,24,17.2,Arkaroola
1995,04,25,17.7,Arkaroola
1995,04,26,NA,Arkaroola
1995,04,27,NA,Arkaroola
1995,04,28,NA,Arkaroola
1995,04,29,10.4,Arkaroola
1995,04,30,3.8,Arkaroola
1995,05,01,12.7,Arkaroola
1995,05,02,12.5,Arkaroola
1995,05,03,10.6,Arkaroola
1995,05,04,13.9,Arkaroola
1995,05,05,10.9,Arkaroola
1995,05,06,15.9,Arkaroola
1995,05,07,16.2,Arkaroola
1995,05,08,14,Arkaroola
1995,05,09,5.2,Arkaroola
1995,05,10,4.5,Arkaroola
1995,05,11,NA,Arkaroola
1995,05,12,NA,Arkaroola
1995,05,13,10.7,Arkaroola
1995,05,14,14.8,Arkaroola
1995,05,15,11.6,Arkaroola
1995,05,16,6.5,Arkaroola
1995,05,17,13.4,Arkaroola
1995,05,18,NA,Arkaroola
1995,05,19,6.6,Arkaroola
1995,05,20,NA,Arkaroola
1995,05,21,NA,Arkaroola
1995,05,22,NA,Arkaroola
1995,05,23,NA,Arkaroola
1995,05,24,13.3,Arkaroola
1995,05,25,NA,Arkaroola
1995,05,26,13.6,Arkaroola
1995,05,27,13.5,Arkaroola
1995,05,28,13.2,Arkaroola
1995,05,29,13.3,Arkaroola
1995,05,30,13.1,Arkaroola
1995,05,31,12.9,Arkaroola
1995,06,01,11.9,Arkaroola
1995,06,02,13.1,Arkaroola
1995,06,03,11.4,Arkaroola
1995,06,04,9.1,Arkaroola
1995,06,05,12.6,Arkaroola
1995,06,06,4.3,Arkaroola
1995,06,07,11.3,Arkaroola
1995,06,08,11.3,Arkaroola
1995,06,09,11.7,Arkaroola
1995,06,10,11.6,Arkaroola
1995,06,11,NA,Arkaroola
1995,06,12,NA,Arkaroola
1995,06,13,NA,Arkaroola
1995,06,14,5.3,Arkaroola
1995,06,15,9.8,Arkaroola
1995,06,16,NA,Arkaroola
1995,06,17,NA,Arkaroola
1995,06,18,10.9,Arkaroola
1995,06,19,4.6,Arkaroola
1995,06,20,7.9,Arkaroola
1995,06,21,12,Arkaroola
1995,06,22,13.4,Arkaroola
1995,06,23,12.3,Arkaroola
1995,06,24,10.5,Arkaroola
1995,06,25,9.8,Arkaroola
1995,06,26,12.1,Arkaroola
1995,06,27,NA,Arkaroola
1995,06,28,NA,Arkaroola
1995,06,29,11.8,Arkaroola
1995,06,30,12.8,Arkaroola
1995,07,01,12.5,Arkaroola
1995,07,02,10.4,Arkaroola
1995,07,03,12.5,Arkaroola
1995,07,04,NA,Arkaroola
1995,07,05,9.6,Arkaroola
1995,07,06,7.4,Arkaroola
1995,07,07,12.9,Arkaroola
1995,07,08,13.5,Arkaroola
1995,07,09,10.6,Arkaroola
1995,07,10,13.3,Arkaroola
1995,07,11,13.4,Arkaroola
1995,07,12,NA,Arkaroola
1995,07,13,NA,Arkaroola
1995,07,14,NA,Arkaroola
1995,07,15,13.3,Arkaroola
1995,07,16,4.4,Arkaroola
1995,07,17,NA,Arkaroola
1995,07,18,NA,Arkaroola
1995,07,19,13.5,Arkaroola
1995,07,20,NA,Arkaroola
1995,07,21,6.1,Arkaroola
1995,07,22,12.1,Arkaroola
1995,07,23,14.3,Arkaroola
1995,07,24,NA,Arkaroola
1995,07,25,6.7,Arkaroola
1995,07,26,NA,Arkaroola
1995,07,27,14.4,Arkaroola
1995,07,28,NA,Arkaroola
1995,07,29,13.8,Arkaroola
1995,07,30,12.1,Arkaroola
1995,07,31,13.4,Arkaroola
1995,08,01,NA,Arkaroola
1995,08,02,15.8,Arkaroola
1995,08,03,NA,Arkaroola
1995,08,04,14.5,Arkaroola
1995,08,05,8.9,Arkaroola
1995,08,06,13.5,Arkaroola
1995,08,07,NA,Arkaroola
1995,08,08,14.3,Arkaroola
1995,08,09,NA,Arkaroola
1995,08,10,16,Arkaroola
