Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,16077,1942,03,22.4,Y
IDCJAC0001,16077,1942,04,5.1,Y
IDCJAC0001,16077,1942,05,41.4,Y
IDCJAC0001,16077,1942,06,33.8,Y
IDCJAC0001,16077,1942,07,0.0,Y
IDCJAC0001,16077,1942,08,0.0,Y
IDCJAC0001,16077,1942,09,0.0,Y
IDCJAC0001,16077,1942,10,7.4,Y
IDCJAC0001,16077,1942,11,36.1,Y
IDCJAC0001,16077,1942,12,90.2,Y
IDCJAC0001,16077,1943,01,9.9,Y
IDCJAC0001,16077,1943,02,20.3,Y
IDCJAC0001,16077,1943,03,2.8,Y
IDCJAC0001,16077,1943,04,31.2,Y
IDCJAC0001,16077,1943,05,2.8,Y
IDCJAC0001,16077,1943,06,0.5,Y
IDCJAC0001,16077,1943,07,23.9,Y
IDCJAC0001,16077,1943,08,16.3,Y
IDCJAC0001,16077,1943,09,0.0,Y
IDCJAC0001,16077,1943,10,5.1,Y
IDCJAC0001,16077,1943,11,15.5,Y
IDCJAC0001,16077,1943,12,2.0,Y
IDCJAC0001,16077,1944,01,0.0,Y
IDCJAC0001,16077,1944,02,91.2,Y
IDCJAC0001,16077,1944,03,0.0,Y
IDCJAC0001,16077,1944,04,0.0,Y
IDCJAC0001,16077,1944,05,0.0,Y
IDCJAC0001,16077,1944,06,0.0,Y
IDCJAC0001,16077,1944,07,0.0,Y
IDCJAC0001,16077,1944,08,1.0,Y
IDCJAC0001,16077,1944,09,0.5,Y
IDCJAC0001,16077,1944,10,0.0,Y
IDCJAC0001,16077,1944,11,1.3,Y
IDCJAC0001,16077,1944,12,2.5,Y
IDCJAC0001,16077,1945,01,2.5,Y
IDCJAC0001,16077,1945,02,8.6,Y
IDCJAC0001,16077,1945,03,54.6,Y
IDCJAC0001,16077,1945,04,0.0,Y
IDCJAC0001,16077,1945,05,2.5,Y
IDCJAC0001,16077,1945,06,15.7,Y
IDCJAC0001,16077,1945,07,20.3,Y
IDCJAC0001,16077,1945,08,12.2,Y
IDCJAC0001,16077,1945,09,26.7,Y
IDCJAC0001,16077,1945,10,33.8,Y
IDCJAC0001,16077,1945,11,0.0,Y
IDCJAC0001,16077,1945,12,23.4,Y
IDCJAC0001,16077,1946,01,19.8,Y
IDCJAC0001,16077,1946,02,114.3,Y
IDCJAC0001,16077,1946,03,0.0,Y
IDCJAC0001,16077,1946,04,2.0,Y
IDCJAC0001,16077,1946,05,4.3,Y
IDCJAC0001,16077,1947,01,0.0,Y
IDCJAC0001,16077,1947,02,22.9,Y
IDCJAC0001,16077,1947,03,27.7,Y
IDCJAC0001,16077,1947,04,0.0,Y
IDCJAC0001,16077,1947,05,0.0,Y
IDCJAC0001,16077,1947,06,7.6,Y
IDCJAC0001,16077,1947,07,18.8,Y
IDCJAC0001,16077,1947,08,48.5,Y
IDCJAC0001,16077,1947,09,10.9,Y
IDCJAC0001,16077,1947,10,57.9,Y
IDCJAC0001,16077,1947,11,23.9,Y
IDCJAC0001,16077,1947,12,15.2,Y
