Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,16073,1969,01,01,,,
IDCJAC0009,16073,1969,01,02,,,
IDCJAC0009,16073,1969,01,03,,,
IDCJAC0009,16073,1969,01,04,,,
IDCJAC0009,16073,1969,01,05,,,
IDCJAC0009,16073,1969,01,06,,,
IDCJAC0009,16073,1969,01,07,,,
IDCJAC0009,16073,1969,01,08,,,
IDCJAC0009,16073,1969,01,09,,,
IDCJAC0009,16073,1969,01,10,,,
IDCJAC0009,16073,1969,01,11,,,
IDCJAC0009,16073,1969,01,12,,,
IDCJAC0009,16073,1969,01,13,,,
IDCJAC0009,16073,1969,01,14,,,
IDCJAC0009,16073,1969,01,15,,,
IDCJAC0009,16073,1969,01,16,,,
IDCJAC0009,16073,1969,01,17,,,
IDCJAC0009,16073,1969,01,18,,,
IDCJAC0009,16073,1969,01,19,,,
IDCJAC0009,16073,1969,01,20,,,
IDCJAC0009,16073,1969,01,21,,,
IDCJAC0009,16073,1969,01,22,,,
IDCJAC0009,16073,1969,01,23,,,
IDCJAC0009,16073,1969,01,24,,,
IDCJAC0009,16073,1969,01,25,,,
IDCJAC0009,16073,1969,01,26,,,
IDCJAC0009,16073,1969,01,27,,,
IDCJAC0009,16073,1969,01,28,,,
IDCJAC0009,16073,1969,01,29,,,
IDCJAC0009,16073,1969,01,30,,,
IDCJAC0009,16073,1969,01,31,,,
IDCJAC0009,16073,1969,02,01,0.0,,Y
IDCJAC0009,16073,1969,02,02,0.0,,Y
IDCJAC0009,16073,1969,02,03,0.0,,Y
IDCJAC0009,16073,1969,02,04,0.0,,Y
IDCJAC0009,16073,1969,02,05,0.0,,Y
IDCJAC0009,16073,1969,02,06,0.0,,Y
IDCJAC0009,16073,1969,02,07,0.0,,Y
IDCJAC0009,16073,1969,02,08,40.6,1,Y
IDCJAC0009,16073,1969,02,09,,,
IDCJAC0009,16073,1969,02,10,16.5,2,Y
IDCJAC0009,16073,1969,02,11,0.0,,Y
IDCJAC0009,16073,1969,02,12,0.0,,Y
IDCJAC0009,16073,1969,02,13,0.0,,Y
IDCJAC0009,16073,1969,02,14,0.0,,Y
IDCJAC0009,16073,1969,02,15,0.0,,Y
IDCJAC0009,16073,1969,02,16,0.0,,Y
IDCJAC0009,16073,1969,02,17,0.0,,Y
IDCJAC0009,16073,1969,02,18,0.0,,Y
IDCJAC0009,16073,1969,02,19,0.0,,Y
IDCJAC0009,16073,1969,02,20,0.0,,Y
IDCJAC0009,16073,1969,02,21,0.0,,Y
IDCJAC0009,16073,1969,02,22,5.3,1,Y
IDCJAC0009,16073,1969,02,23,0.0,,Y
IDCJAC0009,16073,1969,02,24,0.0,,Y
IDCJAC0009,16073,1969,02,25,7.1,1,Y
IDCJAC0009,16073,1969,02,26,0.0,,Y
IDCJAC0009,16073,1969,02,27,0.0,,Y
IDCJAC0009,16073,1969,02,28,0.0,,Y
IDCJAC0009,16073,1969,03,01,0.0,,Y
IDCJAC0009,16073,1969,03,02,0.0,,Y
IDCJAC0009,16073,1969,03,03,0.0,,Y
IDCJAC0009,16073,1969,03,04,0.0,,Y
IDCJAC0009,16073,1969,03,05,0.0,,Y
IDCJAC0009,16073,1969,03,06,0.0,,Y
IDCJAC0009,16073,1969,03,07,0.0,,Y
IDCJAC0009,16073,1969,03,08,0.0,,Y
IDCJAC0009,16073,1969,03,09,0.0,,Y
IDCJAC0009,16073,1969,03,10,0.0,,Y
IDCJAC0009,16073,1969,03,11,2.8,1,Y
IDCJAC0009,16073,1969,03,12,0.0,,Y
IDCJAC0009,16073,1969,03,13,0.0,,Y
IDCJAC0009,16073,1969,03,14,6.1,1,Y
IDCJAC0009,16073,1969,03,15,0.0,,Y
IDCJAC0009,16073,1969,03,16,0.0,,Y
IDCJAC0009,16073,1969,03,17,0.0,,Y
IDCJAC0009,16073,1969,03,18,0.0,,Y
IDCJAC0009,16073,1969,03,19,0.0,,Y
IDCJAC0009,16073,1969,03,20,0.0,,Y
IDCJAC0009,16073,1969,03,21,0.0,,Y
IDCJAC0009,16073,1969,03,22,0.0,,Y
IDCJAC0009,16073,1969,03,23,1.3,1,Y
IDCJAC0009,16073,1969,03,24,0.0,,Y
IDCJAC0009,16073,1969,03,25,0.0,,Y
IDCJAC0009,16073,1969,03,26,0.0,,Y
IDCJAC0009,16073,1969,03,27,0.0,,Y
IDCJAC0009,16073,1969,03,28,0.0,,Y
IDCJAC0009,16073,1969,03,29,0.0,,Y
IDCJAC0009,16073,1969,03,30,0.0,,Y
IDCJAC0009,16073,1969,03,31,0.0,,Y
IDCJAC0009,16073,1969,04,01,0.0,,Y
IDCJAC0009,16073,1969,04,02,0.0,,Y
IDCJAC0009,16073,1969,04,03,0.0,,Y
IDCJAC0009,16073,1969,04,04,0.0,,Y
IDCJAC0009,16073,1969,04,05,0.0,,Y
IDCJAC0009,16073,1969,04,06,0.0,,Y
IDCJAC0009,16073,1969,04,07,0.0,,Y
IDCJAC0009,16073,1969,04,08,0.0,,Y
IDCJAC0009,16073,1969,04,09,0.0,,Y
IDCJAC0009,16073,1969,04,10,0.0,,Y
IDCJAC0009,16073,1969,04,11,0.0,,Y
IDCJAC0009,16073,1969,04,12,0.0,,Y
IDCJAC0009,16073,1969,04,13,0.0,,Y
IDCJAC0009,16073,1969,04,14,0.0,,Y
IDCJAC0009,16073,1969,04,15,0.0,,Y
IDCJAC0009,16073,1969,04,16,0.0,,Y
IDCJAC0009,16073,1969,04,17,0.0,,Y
IDCJAC0009,16073,1969,04,18,0.0,,Y
IDCJAC0009,16073,1969,04,19,0.0,,Y
IDCJAC0009,16073,1969,04,20,0.0,,Y
IDCJAC0009,16073,1969,04,21,0.0,,Y
IDCJAC0009,16073,1969,04,22,0.0,,Y
IDCJAC0009,16073,1969,04,23,0.0,,Y
IDCJAC0009,16073,1969,04,24,0.0,,Y
IDCJAC0009,16073,1969,04,25,0.0,,Y
IDCJAC0009,16073,1969,04,26,0.0,,Y
IDCJAC0009,16073,1969,04,27,0.0,,Y
IDCJAC0009,16073,1969,04,28,0.0,,Y
IDCJAC0009,16073,1969,04,29,0.0,,Y
IDCJAC0009,16073,1969,04,30,0.0,,Y
IDCJAC0009,16073,1969,05,01,0.0,,Y
IDCJAC0009,16073,1969,05,02,0.0,,Y
IDCJAC0009,16073,1969,05,03,0.8,1,Y
IDCJAC0009,16073,1969,05,04,0.0,,Y
IDCJAC0009,16073,1969,05,05,0.0,,Y
IDCJAC0009,16073,1969,05,06,0.0,,Y
IDCJAC0009,16073,1969,05,07,0.0,,Y
IDCJAC0009,16073,1969,05,08,0.0,,Y
IDCJAC0009,16073,1969,05,09,0.0,,Y
IDCJAC0009,16073,1969,05,10,0.0,,Y
IDCJAC0009,16073,1969,05,11,0.0,,Y
IDCJAC0009,16073,1969,05,12,0.8,1,Y
IDCJAC0009,16073,1969,05,13,0.0,,Y
IDCJAC0009,16073,1969,05,14,0.0,,Y
IDCJAC0009,16073,1969,05,15,0.0,,Y
IDCJAC0009,16073,1969,05,16,0.0,,Y
IDCJAC0009,16073,1969,05,17,0.0,,Y
IDCJAC0009,16073,1969,05,18,0.0,,Y
IDCJAC0009,16073,1969,05,19,0.0,,Y
IDCJAC0009,16073,1969,05,20,0.0,,Y
IDCJAC0009,16073,1969,05,21,0.0,,Y
IDCJAC0009,16073,1969,05,22,0.0,,Y
IDCJAC0009,16073,1969,05,23,1.0,1,Y
IDCJAC0009,16073,1969,05,24,3.0,1,Y
IDCJAC0009,16073,1969,05,25,0.0,,Y
IDCJAC0009,16073,1969,05,26,0.0,,Y
IDCJAC0009,16073,1969,05,27,0.0,,Y
IDCJAC0009,16073,1969,05,28,0.0,,Y
IDCJAC0009,16073,1969,05,29,0.0,,Y
IDCJAC0009,16073,1969,05,30,0.0,,Y
IDCJAC0009,16073,1969,05,31,0.0,,Y
IDCJAC0009,16073,1969,06,01,0.5,1,Y
IDCJAC0009,16073,1969,06,02,1.3,1,Y
IDCJAC0009,16073,1969,06,03,3.0,1,Y
IDCJAC0009,16073,1969,06,04,0.0,,Y
IDCJAC0009,16073,1969,06,05,0.0,,Y
IDCJAC0009,16073,1969,06,06,0.0,,Y
IDCJAC0009,16073,1969,06,07,0.0,,Y
IDCJAC0009,16073,1969,06,08,0.0,,Y
IDCJAC0009,16073,1969,06,09,0.0,,Y
IDCJAC0009,16073,1969,06,10,0.0,,Y
IDCJAC0009,16073,1969,06,11,0.0,,Y
IDCJAC0009,16073,1969,06,12,0.0,,Y
IDCJAC0009,16073,1969,06,13,0.0,,Y
IDCJAC0009,16073,1969,06,14,0.0,,Y
IDCJAC0009,16073,1969,06,15,0.0,,Y
IDCJAC0009,16073,1969,06,16,0.0,,Y
IDCJAC0009,16073,1969,06,17,4.6,1,Y
IDCJAC0009,16073,1969,06,18,9.1,1,Y
IDCJAC0009,16073,1969,06,19,0.0,,Y
IDCJAC0009,16073,1969,06,20,0.0,,Y
IDCJAC0009,16073,1969,06,21,0.0,,Y
IDCJAC0009,16073,1969,06,22,0.0,,Y
IDCJAC0009,16073,1969,06,23,0.0,,Y
IDCJAC0009,16073,1969,06,24,0.0,,Y
IDCJAC0009,16073,1969,06,25,0.0,,Y
IDCJAC0009,16073,1969,06,26,0.0,,Y
IDCJAC0009,16073,1969,06,27,0.0,,Y
IDCJAC0009,16073,1969,06,28,0.0,,Y
IDCJAC0009,16073,1969,06,29,0.0,,Y
IDCJAC0009,16073,1969,06,30,0.0,,Y
IDCJAC0009,16073,1969,07,01,0.0,,Y
IDCJAC0009,16073,1969,07,02,0.0,,Y
IDCJAC0009,16073,1969,07,03,0.0,,Y
IDCJAC0009,16073,1969,07,04,0.5,1,Y
IDCJAC0009,16073,1969,07,05,0.0,,Y
IDCJAC0009,16073,1969,07,06,0.0,,Y
IDCJAC0009,16073,1969,07,07,0.0,,Y
IDCJAC0009,16073,1969,07,08,0.0,,Y
IDCJAC0009,16073,1969,07,09,0.0,,Y
IDCJAC0009,16073,1969,07,10,0.0,,Y
IDCJAC0009,16073,1969,07,11,0.0,,Y
IDCJAC0009,16073,1969,07,12,0.0,,Y
IDCJAC0009,16073,1969,07,13,0.0,,Y
IDCJAC0009,16073,1969,07,14,0.0,,Y
IDCJAC0009,16073,1969,07,15,0.0,,Y
IDCJAC0009,16073,1969,07,16,0.0,,Y
IDCJAC0009,16073,1969,07,17,0.0,,Y
IDCJAC0009,16073,1969,07,18,0.0,,Y
IDCJAC0009,16073,1969,07,19,0.0,,Y
IDCJAC0009,16073,1969,07,20,0.0,,Y
IDCJAC0009,16073,1969,07,21,0.0,,Y
IDCJAC0009,16073,1969,07,22,0.0,,Y
IDCJAC0009,16073,1969,07,23,0.0,,Y
IDCJAC0009,16073,1969,07,24,0.0,,Y
IDCJAC0009,16073,1969,07,25,0.0,,Y
IDCJAC0009,16073,1969,07,26,0.0,,Y
IDCJAC0009,16073,1969,07,27,0.0,,Y
IDCJAC0009,16073,1969,07,28,0.0,,Y
IDCJAC0009,16073,1969,07,29,0.0,,Y
IDCJAC0009,16073,1969,07,30,0.0,,Y
IDCJAC0009,16073,1969,07,31,0.0,,Y
IDCJAC0009,16073,1969,08,01,0.0,,Y
IDCJAC0009,16073,1969,08,02,0.0,,Y
IDCJAC0009,16073,1969,08,03,0.0,,Y
IDCJAC0009,16073,1969,08,04,0.0,,Y
IDCJAC0009,16073,1969,08,05,0.0,,Y
IDCJAC0009,16073,1969,08,06,0.0,,Y
IDCJAC0009,16073,1969,08,07,3.3,1,Y
IDCJAC0009,16073,1969,08,08,0.0,,Y
IDCJAC0009,16073,1969,08,09,0.0,,Y
IDCJAC0009,16073,1969,08,10,0.0,,Y
IDCJAC0009,16073,1969,08,11,0.0,,Y
IDCJAC0009,16073,1969,08,12,0.0,,Y
IDCJAC0009,16073,1969,08,13,0.0,,Y
IDCJAC0009,16073,1969,08,14,0.0,,Y
IDCJAC0009,16073,1969,08,15,0.0,,Y
IDCJAC0009,16073,1969,08,16,0.0,,Y
IDCJAC0009,16073,1969,08,17,0.0,,Y
IDCJAC0009,16073,1969,08,18,0.0,,Y
IDCJAC0009,16073,1969,08,19,0.0,,Y
IDCJAC0009,16073,1969,08,20,0.0,,Y
IDCJAC0009,16073,1969,08,21,0.0,,Y
IDCJAC0009,16073,1969,08,22,0.0,,Y
IDCJAC0009,16073,1969,08,23,0.0,,Y
IDCJAC0009,16073,1969,08,24,0.0,,Y
IDCJAC0009,16073,1969,08,25,0.0,,Y
IDCJAC0009,16073,1969,08,26,0.0,,Y
IDCJAC0009,16073,1969,08,27,0.0,,Y
IDCJAC0009,16073,1969,08,28,0.0,,Y
IDCJAC0009,16073,1969,08,29,0.0,,Y
IDCJAC0009,16073,1969,08,30,0.0,,Y
IDCJAC0009,16073,1969,08,31,0.0,,Y
IDCJAC0009,16073,1969,09,01,0.0,,Y
IDCJAC0009,16073,1969,09,02,0.0,,Y
IDCJAC0009,16073,1969,09,03,1.5,1,Y
IDCJAC0009,16073,1969,09,04,4.6,1,Y
IDCJAC0009,16073,1969,09,05,3.0,1,Y
IDCJAC0009,16073,1969,09,06,0.0,,Y
IDCJAC0009,16073,1969,09,07,0.0,,Y
IDCJAC0009,16073,1969,09,08,0.0,,Y
IDCJAC0009,16073,1969,09,09,0.0,,Y
IDCJAC0009,16073,1969,09,10,0.0,,Y
IDCJAC0009,16073,1969,09,11,0.0,,Y
IDCJAC0009,16073,1969,09,12,0.0,,Y
IDCJAC0009,16073,1969,09,13,0.0,,Y
IDCJAC0009,16073,1969,09,14,0.0,,Y
IDCJAC0009,16073,1969,09,15,0.0,,Y
IDCJAC0009,16073,1969,09,16,0.0,,Y
IDCJAC0009,16073,1969,09,17,0.0,,Y
IDCJAC0009,16073,1969,09,18,0.0,,Y
IDCJAC0009,16073,1969,09,19,0.0,,Y
IDCJAC0009,16073,1969,09,20,0.0,,Y
IDCJAC0009,16073,1969,09,21,0.0,,Y
IDCJAC0009,16073,1969,09,22,0.0,,Y
IDCJAC0009,16073,1969,09,23,0.0,,Y
IDCJAC0009,16073,1969,09,24,0.0,,Y
IDCJAC0009,16073,1969,09,25,0.0,,Y
IDCJAC0009,16073,1969,09,26,0.0,,Y
IDCJAC0009,16073,1969,09,27,0.0,,Y
IDCJAC0009,16073,1969,09,28,0.0,,Y
IDCJAC0009,16073,1969,09,29,0.0,,Y
IDCJAC0009,16073,1969,09,30,0.0,,Y
IDCJAC0009,16073,1969,10,01,0.0,,Y
IDCJAC0009,16073,1969,10,02,0.0,,Y
IDCJAC0009,16073,1969,10,03,0.0,,Y
IDCJAC0009,16073,1969,10,04,0.0,,Y
IDCJAC0009,16073,1969,10,05,0.0,,Y
IDCJAC0009,16073,1969,10,06,0.0,,Y
IDCJAC0009,16073,1969,10,07,0.0,,Y
IDCJAC0009,16073,1969,10,08,0.0,,Y
IDCJAC0009,16073,1969,10,09,0.0,,Y
IDCJAC0009,16073,1969,10,10,0.0,,Y
IDCJAC0009,16073,1969,10,11,0.0,,Y
IDCJAC0009,16073,1969,10,12,0.0,,Y
IDCJAC0009,16073,1969,10,13,0.0,,Y
IDCJAC0009,16073,1969,10,14,0.0,,Y
IDCJAC0009,16073,1969,10,15,0.0,,Y
IDCJAC0009,16073,1969,10,16,0.0,,Y
IDCJAC0009,16073,1969,10,17,0.0,,Y
IDCJAC0009,16073,1969,10,18,0.0,,Y
IDCJAC0009,16073,1969,10,19,0.0,,Y
IDCJAC0009,16073,1969,10,20,0.0,,Y
IDCJAC0009,16073,1969,10,21,0.0,,Y
IDCJAC0009,16073,1969,10,22,0.8,1,Y
IDCJAC0009,16073,1969,10,23,0.0,,Y
IDCJAC0009,16073,1969,10,24,10.2,1,Y
IDCJAC0009,16073,1969,10,25,5.3,1,Y
IDCJAC0009,16073,1969,10,26,0.5,1,Y
IDCJAC0009,16073,1969,10,27,9.4,1,Y
IDCJAC0009,16073,1969,10,28,0.0,,Y
IDCJAC0009,16073,1969,10,29,0.0,,Y
IDCJAC0009,16073,1969,10,30,0.0,,Y
IDCJAC0009,16073,1969,10,31,0.0,,Y
IDCJAC0009,16073,1969,11,01,0.0,,Y
IDCJAC0009,16073,1969,11,02,0.8,1,Y
IDCJAC0009,16073,1969,11,03,1.3,1,Y
IDCJAC0009,16073,1969,11,04,1.8,1,Y
IDCJAC0009,16073,1969,11,05,0.0,,Y
IDCJAC0009,16073,1969,11,06,0.0,,Y
IDCJAC0009,16073,1969,11,07,0.0,,Y
IDCJAC0009,16073,1969,11,08,0.0,,Y
IDCJAC0009,16073,1969,11,09,0.0,,Y
IDCJAC0009,16073,1969,11,10,0.0,,Y
IDCJAC0009,16073,1969,11,11,0.0,,Y
IDCJAC0009,16073,1969,11,12,0.0,,Y
IDCJAC0009,16073,1969,11,13,0.0,,Y
IDCJAC0009,16073,1969,11,14,0.0,,Y
IDCJAC0009,16073,1969,11,15,0.0,,Y
IDCJAC0009,16073,1969,11,16,0.0,,Y
IDCJAC0009,16073,1969,11,17,0.0,,Y
IDCJAC0009,16073,1969,11,18,0.0,,Y
IDCJAC0009,16073,1969,11,19,0.0,,Y
IDCJAC0009,16073,1969,11,20,0.0,,Y
IDCJAC0009,16073,1969,11,21,0.0,,Y
IDCJAC0009,16073,1969,11,22,0.0,,Y
IDCJAC0009,16073,1969,11,23,0.0,,Y
IDCJAC0009,16073,1969,11,24,0.0,,Y
IDCJAC0009,16073,1969,11,25,0.0,,Y
IDCJAC0009,16073,1969,11,26,0.0,,Y
